symbol,n_trades,mean_bp,ci_lower_bp,ci_upper_bp,ci_lower_pos,skip
ADAUSDT,431,10.369979475445374,-13.799203692086536,37.48452053031403,False,
AVAXUSDT,360,-15.3601487209422,-31.4256646219402,0.5643993749884115,False,
BCHUSDT,323,-11.762721924576146,-27.10008365706295,3.6929025839205347,False,
BNBUSDT,679,-16.420892418068377,-23.60786871844178,-8.843620962949746,False,
BTCUSDT,463,-10.424267504267657,-17.69320196710179,-3.3829220729246234,False,
DOGEUSDT,466,-20.07500605499581,-39.142134853347834,-2.581143093740507,False,
ETHUSDT,513,-8.635344810349714,-18.843085040200307,1.5650875886073325,False,
FILUSDT,320,-2.3891000944515195,-24.315957846379774,20.116532681933638,False,
LINKUSDT,308,0.09219061576574758,-27.680720921065173,38.859974031033445,False,
LTCUSDT,362,-2.299950555581102,-15.885866847279951,11.562163461111034,False,
NEARUSDT,280,-14.728892314662264,-36.45908706996344,5.002908809383156,False,
SOLUSDT,532,-8.494979259484989,-19.16661062547909,2.212063796456474,False,
WIFUSDT,309,-17.22886417701615,-89.54818648435544,61.567773812876105,False,
XRPUSDT,513,5.146444062763674,-16.845618824129616,32.313621129490194,False,
