symbol,n_trades,n_type_a,n_type_b,alpha_pct,type_a_alpha,type_b_alpha,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,421,184,237,20.36,0.0,0.0,-26.56,-46.92,-0.69,34.57,42.28,0.9,387
AXSUSDT,387,176,211,92.79,0.0,0.0,43.17,-49.62,0.912,27.48,45.48,1.173,393
COMPUSDT,439,207,232,-33.58,0.0,0.0,-72.18,-38.6,-2.358,74.53,42.14,0.66,388
LINKUSDT,467,193,274,11.7,0.0,0.0,-32.29,-43.99,-0.849,45.64,43.04,0.89,371
UNIUSDT,522,243,279,101.12,0.0,0.0,64.39,-36.72,1.188,41.11,48.66,1.186,390
ETCUSDT,426,186,240,5.59,0.0,0.0,-34.72,-40.32,-1.046,36.35,44.84,0.849,391
LDOUSDT,544,236,308,7.26,0.0,0.0,-47.11,-54.37,-1.009,64.88,43.2,0.882,391
AVAXUSDT,523,224,299,145.65,0.0,0.0,91.83,-53.83,1.729,27.85,49.33,1.257,365
SOLUSDT,562,226,337,44.82,0.0,0.0,15.26,-29.56,0.546,25.86,46.09,1.071,390
DOGEUSDT,538,208,330,7.0,0.0,0.0,-45.63,-52.63,-1.376,50.97,42.38,0.851,373
