symbol,n_trades,n_type_a,n_type_b,alpha_pct,type_a_alpha,type_b_alpha,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,155,78,77,58.47,-8.22,21.92,11.55,-46.92,0.554,12.46,45.81,1.15,387
AXSUSDT,177,79,98,77.73,41.07,-3.91,28.12,-49.62,0.651,23.51,47.46,1.289,393
COMPUSDT,184,68,116,44.88,44.99,-34.41,6.27,-38.6,0.331,16.9,45.65,1.087,388
LINKUSDT,159,94,65,71.21,20.89,5.67,27.22,-43.99,1.172,16.28,48.43,1.319,371
UNIUSDT,122,62,60,5.02,-20.31,-16.28,-31.7,-36.72,-2.054,31.7,40.16,0.607,390
ETCUSDT,160,88,72,54.37,8.76,6.76,14.05,-40.32,0.677,17.78,45.62,1.192,391
LDOUSDT,151,69,82,41.51,-3.14,-6.23,-12.86,-54.37,-0.305,36.49,45.7,0.929,391
AVAXUSDT,151,85,66,47.62,-10.11,6.85,-6.21,-53.83,-0.13,24.15,49.01,0.969,365
SOLUSDT,227,153,74,37.0,29.71,-19.66,7.44,-29.56,0.401,18.51,45.81,1.084,390
DOGEUSDT,187,118,69,43.8,0.18,-6.63,-8.82,-52.63,-0.269,21.07,42.25,0.948,373
