symbol,n_trades,n_type_a,n_type_b,alpha_pct,type_a_alpha,type_b_alpha,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,316,156,160,-9.11,-24.08,-14.16,-56.03,-46.92,-0.371,61.28,46.2,0.872,387
AXSUSDT,335,156,179,41.74,-6.39,11.86,-7.88,-49.62,0.098,36.71,44.48,1.017,393
COMPUSDT,330,131,199,2.55,-48.76,11.88,-36.05,-38.6,-0.896,45.49,43.94,0.87,388
LINKUSDT,319,177,142,-29.83,-47.58,-61.32,-73.82,-43.99,-1.8,79.12,42.63,0.642,371
UNIUSDT,240,123,117,18.97,-1.8,-12.53,-17.75,-36.72,-0.426,33.5,45.42,0.928,390
ETCUSDT,302,173,129,-24.16,-24.16,-61.56,-64.48,-40.32,-1.577,67.35,46.36,0.677,391
LDOUSDT,280,129,151,22.41,-12.65,-17.72,-31.97,-54.37,-0.712,34.03,43.93,0.884,391
AVAXUSDT,301,175,126,-7.39,-23.48,-64.29,-61.22,-53.83,-2.345,69.19,40.86,0.695,365
SOLUSDT,374,242,133,43.07,4.78,14.07,13.5,-29.56,0.516,41.15,51.6,1.077,390
DOGEUSDT,342,209,133,37.79,2.94,-12.74,-14.83,-52.63,-0.272,47.03,47.66,0.962,373
