symbol,onboard_date,onboard_ts_ms
FETUSDT,2023-01-15,1673766000000
MAGICUSDT,2023-01-23,1674457200000
TUSDT,2023-01-31,1675148400000
HIGHUSDT,2023-02-03,1675407600000
MINAUSDT,2023-02-03,1675407600000
ASTRUSDT,2023-02-13,1676271600000
PHBUSDT,2023-02-15,1676444400000
GMXUSDT,2023-02-16,1676530800000
CFXUSDT,2023-02-19,1676790000000
STXUSDT,2023-02-20,1676876400000
ACHUSDT,2023-02-21,1676962800000
SSVUSDT,2023-02-23,1677135600000
CKBUSDT,2023-02-27,1677481200000
LQTYUSDT,2023-03-08,1678258800000
USDCUSDT,2023-03-12,1678579200000
ARBUSDT,2023-03-23,1679554800000
IDUSDT,2023-03-23,1679529600000
JOEUSDT,2023-03-28,1679961600000
TLMUSDT,2023-03-29,1680048000000
HFTUSDT,2023-04-05,1680652800000
XVSUSDT,2023-04-12,1681257600000
BLURUSDT,2023-04-27,1682553600000
EDUUSDT,2023-04-28,1682640000000
SUIUSDT,2023-05-03,1683072000000
1000PEPEUSDT,2023-05-05,1683244800000
1000FLOKIUSDT,2023-05-06,1683331200000
UMAUSDT,2023-05-09,1683590400000
NMRUSDT,2023-06-22,1687435200000
MAVUSDT,2023-06-29,1688040000000
XVGUSDT,2023-07-05,1688558400000
WLDUSDT,2023-07-24,1690200000000
ARKMUSDT,2023-07-28,1690512300000
PENDLEUSDT,2023-07-28,1690511400000
AGLDUSDT,2023-07-29,1690597800000
YGGUSDT,2023-08-05,1691206200000
DODOXUSDT,2023-08-08,1691496000000
BNTUSDT,2023-08-10,1691668800000
SEIUSDT,2023-08-17,1692239400000
CYBERUSDT,2023-08-21,1692619200000
ARKUSDT,2023-09-19,1695133800000
BICOUSDT,2023-09-28,1695904200000
BIGTIMEUSDT,2023-10-12,1697121000000
WAXPUSDT,2023-10-18,1697640300000
BSVUSDT,2023-10-20,1697805000000
RIFUSDT,2023-10-21,1697891400000
GASUSDT,2023-10-25,1698201900000
POLYXUSDT,2023-10-25,1698201000000
POWRUSDT,2023-10-27,1698373800000
TIAUSDT,2023-10-31,1698769800000
CAKEUSDT,2023-11-02,1698929100000
MEMEUSDT,2023-11-03,1699012800000
TWTUSDT,2023-11-03,1699021800000
