symbol,n_periods,n_trades,alpha_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,trades_per_year,gross_mean_pct_per_trade,net_mean_pct_per_trade,median_bars_held,capital_util_pct,oos_days,exit_reasons,sigex,obs_t,null_mean_t,ci_lower_bp,ci_upper_bp,ci_prob_positive,perm_p_two_sided,three_gate_pass,life_changing_pass,edge_pct_per_trade_life_changing_2pct,capital_util_pct_life_changing_30pct,trades_per_year_life_changing_12,sharpe_ann_life_changing_1p5,R5_EXPANSION_ELIGIBLE
BTCUSDT,2466,41,-12.32,0.564,10.19,51.22,1.463,18.43,0.3753,0.2953,2.0,5.49,812,"{'mean': 33, 'time': 6, 'sl': 2}",0.054,0.841,0.786,-37.41,92.15,0.793,0.542,False,False,0.3753,5.49,18.43,0.564,False
ETHUSDT,2466,48,37.21,0.076,24.91,52.08,1.047,21.58,0.1561,0.0761,3.0,6.19,812,"{'mean': 38, 'sl': 9, 'time': 1}",0.041,0.114,0.073,-123.69,130.57,0.512,0.899,False,False,0.1561,6.19,21.58,0.076,False
SOLUSDT,2466,45,24.69,-0.092,21.08,46.67,0.949,20.23,0.0027,-0.0773,3.0,5.74,812,"{'sl': 9, 'mean': 30, 'time': 6}",0.101,-0.137,-0.237,-117.35,102.2,0.427,0.883,False,False,0.0027,5.74,20.23,-0.092,False
LINKUSDT,2466,73,50.46,0.084,30.72,50.68,1.035,32.81,0.1374,0.0574,2.0,6.72,812,"{'mean': 56, 'sl': 15, 'time': 2}",-0.01,0.125,0.135,-81.2,94.86,0.556,0.886,False,False,0.1374,6.72,32.81,0.084,False
ADAUSDT,2466,64,69.19,0.22,27.47,48.44,1.13,28.77,0.303,0.223,2.0,6.76,812,"{'mean': 47, 'time': 7, 'sl': 10}",0.049,0.329,0.28,-106.54,162.35,0.613,0.724,False,False,0.303,6.76,28.77,0.22,False
DOTUSDT,2466,68,63.16,-0.247,43.05,42.65,0.887,30.57,-0.1524,-0.2324,2.0,7.44,812,"{'sl': 14, 'time': 7, 'mean': 47}",0.041,-0.369,-0.41,-150.96,93.86,0.351,0.715,False,False,-0.1524,7.44,30.57,-0.247,False
XRPUSDT,2466,46,-161.27,-0.949,40.66,52.17,0.554,20.68,-0.6285,-0.7085,2.0,4.47,812,"{'mean': 35, 'time': 3, 'sl': 8}",-0.001,-1.415,-1.414,-168.32,23.42,0.072,0.509,False,False,-0.6285,4.47,20.68,-0.949,False
BNBUSDT,2466,75,-79.37,-0.738,27.66,52.0,0.7,33.71,-0.2237,-0.3037,2.0,8.39,812,"{'sl': 6, 'mean': 65, 'time': 4}",-0.006,-1.101,-1.095,-84.2,23.82,0.13,0.508,False,False,-0.2237,8.39,33.71,-0.738,False
BCHUSDT,2466,51,-27.0,-0.004,32.38,47.06,0.997,22.92,0.075,-0.005,2.0,6.48,812,"{'sl': 13, 'mean': 32, 'time': 6}",0.04,-0.006,-0.046,-155.36,164.03,0.479,0.997,False,False,0.075,6.48,22.92,-0.004,False
LTCUSDT,2466,54,21.83,-0.195,21.08,48.15,0.893,24.27,-0.0791,-0.1591,2.0,6.02,812,"{'time': 4, 'sl': 7, 'mean': 43}",0.008,-0.291,-0.3,-120.65,83.93,0.389,0.756,False,False,-0.0791,6.02,24.27,-0.195,False
