symbol,cycle_hours,n_periods,n_trades,alpha_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,trades_per_year,gross_mean_pct_per_trade,net_mean_pct_per_trade,median_bars_held,capital_util_pct,oos_days,exit_reasons,sigex,obs_t,null_mean_t,ci_lower_bp,ci_upper_bp,ci_prob_positive,perm_p_two_sided,three_gate_pass,life_changing_pass,edge_pct_per_trade_life_changing_2pct,capital_util_pct_life_changing_30pct,trades_per_year_life_changing_12,sharpe_ann_life_changing_1p5,R5_EXPANSION_ELIGIBLE
DOGEUSDT,8.0,2466,46,12.64,-0.025,15.88,54.35,0.987,20.68,0.0571,-0.0229,2.0,5.18,812,"{'sl': 10, 'mean': 34, 'time': 2}",0.002,-0.037,-0.039,-125.96,126.22,0.494,0.968,False,False,0.0571,5.18,20.68,-0.025,False
LDOUSDT,8.0,2466,71,126.76,0.754,13.41,52.11,1.413,31.92,0.5967,0.5167,2.0,7.52,812,"{'time': 7, 'mean': 55, 'sl': 9}",0.021,1.125,1.105,-37.95,139.94,0.864,0.516,False,False,0.5967,7.52,31.92,0.754,False
UNIUSDT,8.0,2466,75,49.48,-0.271,31.76,42.67,0.887,33.71,-0.0973,-0.1773,2.0,8.04,812,"{'sl': 13, 'time': 5, 'mean': 57}",0.069,-0.404,-0.473,-102.99,67.43,0.348,0.676,False,False,-0.0973,8.04,33.71,-0.271,False
ETCUSDT,8.0,2466,66,94.46,0.496,23.53,51.52,1.306,29.67,0.5062,0.4262,2.0,6.97,812,"{'mean': 52, 'sl': 11, 'time': 3}",0.037,0.739,0.703,-66.91,168.67,0.766,0.561,False,False,0.5062,6.97,29.67,0.496,False
AVAXUSDT,8.0,2466,58,87.19,0.288,36.37,46.55,1.163,26.07,0.3619,0.2819,2.0,7.1,812,"{'sl': 15, 'time': 5, 'mean': 38}",0.023,0.43,0.407,-95.18,165.24,0.661,0.686,False,False,0.3619,7.1,26.07,0.288,False
NEARUSDT,8.0,2466,75,34.84,-0.167,56.69,44.0,0.917,33.71,-0.0867,-0.1667,2.0,7.55,812,"{'sl': 19, 'mean': 54, 'time': 2}",0.131,-0.249,-0.38,-141.16,118.73,0.377,0.785,False,False,-0.0867,7.55,33.71,-0.167,False
FILUSDT,8.0,2466,75,88.66,0.211,37.76,40.0,1.169,33.71,0.4264,0.3464,2.0,8.46,812,"{'sl': 24, 'time': 6, 'mean': 45}",0.377,0.315,-0.062,-132.96,266.62,0.561,0.78,False,False,0.4264,8.46,33.71,0.211,False
WLDUSDT,8.0,2466,74,35.14,-1.308,63.75,39.19,0.544,33.26,-1.0732,-1.1532,1.0,6.79,812,"{'mean': 50, 'time': 5, 'sl': 19}",0.004,-1.951,-1.955,-227.59,-5.19,0.021,0.485,False,False,-1.0732,6.79,33.26,-1.308,False
JUPUSDT,4.0,4932,137,18.75,-0.378,50.71,40.15,0.854,61.21,-0.1756,-0.2556,2.0,8.64,817,"{'sl': 33, 'mean': 92, 'time': 12}",0.198,-0.565,-0.763,-104.38,78.4,0.289,0.61,False,False,-0.1756,8.64,61.21,-0.378,False
PYTHUSDT,4.0,4932,140,21.7,-1.716,72.27,42.86,0.578,62.55,-0.7292,-0.8092,2.0,7.91,817,"{'sl': 34, 'mean': 96, 'time': 10}",0.024,-2.567,-2.591,-141.02,-17.58,0.006,0.495,False,False,-0.7292,7.91,62.55,-1.716,False
