project,farm_start_utc,farm_end_utc,duration_days,confidence
NFP,2024-01-04,2024-01-06,2,high
XAI,2024-01-04,2024-01-08,4,high
MANTA,2024-01-11,2024-01-17,6,high
ALT,2024-01-19,2024-01-24,5,high
JUP,2024-01-25,2024-01-30,5,high
PIXEL,2024-02-05,2024-02-12,7,high
STRK,2024-02-16,2024-02-19,3,high
PORTAL,2024-02-15,2024-02-28,13,high
AXL,2024-02-26,2024-03-11,14,high
ETHFI,2024-03-05,2024-03-17,12,high
W,2024-03-25,2024-04-02,8,high
ENA,2024-03-30,2024-04-01,2,high
SAGA,2024-04-04,2024-04-08,4,high
OMNI,2024-04-11,2024-04-16,5,high
REZ,2024-04-25,2024-04-29,4,high
BB,2024-05-06,2024-05-12,6,high
NOT,2024-05-13,2024-05-15,2,high
IO,2024-06-04,2024-06-10,6,high
ZK,2024-06-13,2024-06-16,3,high
LISTA,2024-06-19,2024-06-19,0,high
G,2024-06-25,2024-07-02,7,high
BANANA,2024-07-11,2024-07-19,8,high
RENDER,2024-07-22,2024-07-25,3,high
DOGS,2024-08-16,2024-08-25,9,high
NEIROETH,2024-09-13,2024-09-15,2,high
CATI,2024-09-11,2024-09-19,8,high
HMSTR,2024-09-19,2024-09-25,6,high
BANANAS31,2024-09-30,2024-10-07,7,medium
SCR,2024-10-16,2024-10-20,4,high
COW,2024-11-01,2024-11-04,3,medium
ACX,2024-11-19,2024-11-22,3,medium
USUAL,2024-11-11,2024-11-14,3,high
VANA,2024-12-13,2024-12-15,2,high
BIO,2024-12-30,2025-01-03,4,medium
