listed_sym,listing_date,entry_ts,exit_ts,sym,log_return,era,quarter,btc_30d_ret
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,BTCUSDT,-0.09910124845755942,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,ETHUSDT,0.05529877518390857,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,BNBUSDT,-0.0035234712692621445,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,SOLUSDT,-0.05362330931409524,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,XRPUSDT,0.019740356271904905,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,DOGEUSDT,0.011546313014227857,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,ADAUSDT,0.026010521350624278,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,AVAXUSDT,0.019922628835966183,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,LINKUSDT,0.07676653117903666,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,LTCUSDT,0.043523224237629304,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,BCHUSDT,0.004404934114974644,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,FILUSDT,0.05907995489984722,2024H1,2024Q1,
XAIUSDT,2024-01-09,2024-01-10,2024-01-15,NEARUSDT,0.027877437072300462,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,BTCUSDT,-0.03549899130216296,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,ETHUSDT,-0.09785378567967513,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,BNBUSDT,-0.046503266198092426,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,SOLUSDT,-0.11320876326889664,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,XRPUSDT,-0.06491291953807024,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,DOGEUSDT,0.000768147522087498,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,ADAUSDT,-0.05269750935835184,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,AVAXUSDT,-0.09395640576705887,2024H1,2024Q1,
MANTAUSDT,2024-01-18,2024-01-19,2024-01-24,LINKUSDT,-0.025713332610853866,2024H1,2024Q1,
