symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,trades_per_year,gross_mean_pct_per_trade,net_mean_pct_per_trade,median_bars_held,capital_util_pct,oos_days,exit_reasons,sigex,obs_t,null_mean_t,ci_lower_bp,ci_upper_bp,ci_prob_positive,perm_p_two_sided,three_gate_pass,life_changing_pass,edge_pct_per_trade_life_changing_2pct,capital_util_pct_life_changing_30pct,trades_per_year_life_changing_12,sharpe_ann_life_changing_1p5,R5_EXPANSION_ELIGIBLE
BTCUSDT,4,1,3,25.63,11.89,-13.75,1.105,7.59,50.0,2.713,14.6,3.3732,3.2932,5.0,16.83,100,"{'time': 3, 'sl': 1}",,,,,,,,False,False,3.3732,16.83,14.6,1.105,False
ETHUSDT,34,18,16,226.32,189.14,-37.18,1.561,12.2,58.82,2.922,16.2,3.6276,3.5476,5.0,19.95,766,"{'sl': 6, 'time': 28}",-0.01,2.261,2.271,64.85,679.46,0.99,0.504,False,False,3.6276,19.95,16.2,1.561,False
LINKUSDT,25,11,14,136.48,80.96,-55.53,0.965,15.63,48.0,2.112,12.35,2.9847,2.9047,5.0,14.86,739,"{'time': 18, 'sl': 7}",-0.022,1.373,1.395,-114.71,690.1,0.917,0.522,False,False,2.9847,14.86,12.35,0.965,False
ADAUSDT,1,0,1,44.21,10.71,-33.5,0.0,0.0,100.0,inf,3.61,10.7889,10.7089,5.0,4.9,101,{'time': 1},,,,,,,,False,False,10.7889,4.9,3.61,0.0,False
DOTUSDT,31,7,24,166.9,80.3,-86.6,0.83,32.24,58.06,1.726,14.71,2.6502,2.5702,5.0,17.92,769,"{'time': 19, 'sl': 12}",-0.051,1.204,1.255,-141.46,668.62,0.894,0.52,False,False,2.6502,17.92,14.71,0.83,False
XRPUSDT,35,21,14,124.53,248.53,123.99,1.375,23.89,71.43,2.732,16.61,4.4456,4.3656,5.0,20.26,769,"{'time': 28, 'sl': 7}",-0.013,1.996,2.01,47.21,873.99,0.984,0.522,False,False,4.4456,20.26,16.61,1.375,False
BNBUSDT,31,14,17,-15.5,-4.12,11.39,0.028,27.7,48.39,1.021,14.71,0.1259,0.0459,5.0,17.92,769,"{'time': 24, 'sl': 7}",0.086,0.041,-0.045,-196.23,233.0,0.502,0.956,False,False,0.1259,17.92,14.71,0.028,False
BCHUSDT,26,11,15,58.03,60.3,2.27,0.849,29.15,65.38,1.953,12.34,2.328,2.248,5.0,15.71,769,"{'time': 21, 'sl': 5}",-0.086,1.233,1.319,-145.03,572.7,0.886,0.522,False,False,2.328,15.71,12.34,0.849,False
LTCUSDT,29,14,15,130.81,96.99,-33.83,1.077,31.43,58.62,2.188,13.76,2.873,2.793,5.0,17.14,769,"{'time': 23, 'sl': 6}",-0.017,1.563,1.58,-54.1,622.32,0.953,0.509,False,False,2.873,17.14,13.76,1.077,False
UNIUSDT,26,10,16,52.08,-20.65,-72.74,-0.065,34.37,46.15,0.958,12.32,-0.1402,-0.2202,5.0,13.23,770,"{'time': 13, 'sl': 13}",-0.036,-0.095,-0.059,-465.83,447.4,0.445,0.933,False,False,-0.1402,13.23,12.32,-0.065,False
ETCUSDT,17,6,11,180.37,108.13,-72.24,1.322,19.6,64.71,2.986,8.07,4.9831,4.9031,5.0,8.96,769,"{'time': 11, 'sl': 6}",-0.091,1.919,2.01,5.7,993.13,0.976,0.497,False,False,4.9831,8.96,8.07,1.322,False
AVAXUSDT,29,14,15,282.76,200.95,-81.81,1.742,12.96,65.52,3.225,14.56,4.3511,4.2711,5.0,17.45,727,"{'time': 21, 'sl': 8}",-0.019,2.459,2.478,111.52,774.79,0.997,0.502,False,False,4.3511,17.45,14.56,1.742,False
NEARUSDT,28,7,21,262.76,182.87,-79.89,1.462,26.21,64.29,2.71,13.29,4.3899,4.3099,5.0,14.94,769,"{'time': 18, 'sl': 10}",-0.031,2.122,2.153,33.65,828.97,0.984,0.498,False,False,4.3899,14.94,13.29,1.462,False
FILUSDT,29,5,24,186.57,97.16,-89.41,0.934,41.91,51.72,1.87,13.76,3.1166,3.0366,5.0,14.55,769,"{'time': 18, 'sl': 11}",-0.014,1.356,1.369,-112.35,754.23,0.917,0.527,False,False,3.1166,14.55,13.76,0.934,False
WLDUSDT,32,10,22,245.62,148.38,-97.23,1.088,43.03,65.62,1.995,15.19,3.8376,3.7576,5.0,18.31,769,"{'time': 22, 'sl': 10}",-0.02,1.579,1.599,-60.04,840.11,0.945,0.501,False,False,3.8376,18.31,15.19,1.088,False
JUPUSDT,28,6,22,39.28,-45.41,-84.69,-0.369,49.19,35.71,0.76,13.29,-1.2275,-1.3075,5.0,13.25,769,"{'sl': 14, 'time': 14}",0.022,-0.535,-0.557,-607.25,367.52,0.302,0.625,False,False,-1.2275,13.25,13.29,-0.369,False
PYTHUSDT,31,7,24,-1.7,-96.54,-94.84,-0.056,98.7,54.84,0.954,14.69,-0.2399,-0.3199,5.0,16.47,770,"{'time': 17, 'sl': 14}",-0.25,-0.081,0.17,-888.44,623.8,0.5,0.947,False,False,-0.2399,16.47,14.69,-0.056,False
