symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,14,8,6,42.67,-7.53,-50.2,0.016,29.18,64.29,1.013,384
AXSUSDT,14,0,14,-24.09,-66.66,-42.57,-1.512,69.73,35.71,0.297,384
COMPUSDT,14,1,13,5.67,-37.63,-43.3,-0.657,49.88,42.86,0.628,384
LINKUSDT,10,5,5,32.72,-3.04,-35.77,-0.022,15.63,50.0,0.981,369
UNIUSDT,12,5,7,19.7,-19.05,-38.76,-0.382,27.64,50.0,0.763,385
ETCUSDT,5,1,4,54.36,8.53,-45.84,0.381,19.6,40.0,1.549,384
LDOUSDT,13,4,9,290.07,239.22,-50.85,2.659,6.01,76.92,12.001,384
AVAXUSDT,13,6,7,141.81,90.97,-50.84,2.18,11.0,76.92,4.052,363
SOLUSDT,17,10,7,166.52,129.35,-37.16,2.625,8.71,70.59,6.312,383
DOGEUSDT,17,12,5,348.17,302.35,-45.82,3.146,8.83,76.47,11.762,369
