symbol,n_trades,n_long_entries,n_short_entries,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,52,23,29,279.34,229.13,-50.2,2.143,25.81,61.54,2.29,384
AXSUSDT,54,23,31,-43.68,-86.25,-42.57,-1.87,94.52,42.59,0.51,384
COMPUSDT,55,21,34,-42.44,-85.74,-43.3,-2.348,88.86,36.36,0.437,384
LINKUSDT,50,20,30,21.28,-14.48,-35.77,-0.106,39.13,46.0,0.965,369
UNIUSDT,51,24,28,287.4,245.66,-41.74,1.81,30.01,54.9,2.018,384
ETCUSDT,48,22,26,97.73,51.9,-45.84,1.009,28.76,58.33,1.485,384
LDOUSDT,55,24,31,65.08,14.23,-50.85,0.561,50.16,49.09,1.216,384
AVAXUSDT,50,26,24,365.86,315.02,-50.84,2.422,46.58,64.0,2.248,363
SOLUSDT,46,25,21,184.4,149.25,-35.14,1.87,35.24,63.04,2.083,382
DOGEUSDT,49,29,20,1.0,-44.82,-45.82,-0.584,52.48,48.98,0.804,369
