hold_d,cell,n,mean_bp,t_stat
1,1,289,-7.374570945316247,-0.2538109993454569
1,2,275,-39.316297392199296,-1.4075152769111863
1,3,306,-5.19618056330892,-0.164010053471797
1,4,262,44.479054815895445,1.4123515741682924
3,1,289,-20.980955387661957,-0.4524517506094956
3,2,275,-43.78052618973647,-0.9643206992199189
3,3,296,-34.276983538980204,-0.6524062966930503
3,4,262,129.50665208111243,2.7183103108905797
5,1,289,-196.49581626591586,-3.2985508546932096
5,2,275,-104.88542039923855,-2.0971077028249088
5,3,280,11.4647630930454,0.17363750095827477
5,4,262,165.27048241974705,2.9978013449669136
10,1,289,-272.6594833608115,-3.73026463766198
10,2,275,-57.53615287605679,-0.8655096621906222
10,3,272,10.426393920511028,0.10199343241764551
10,4,255,248.41539028149276,2.8170228862852227
20,1,289,-318.33590740086936,-3.2812958954456946
20,2,275,253.4316403043172,2.828899690226453
20,3,256,65.88485957624313,0.4552232667470398
20,4,235,368.1245343358612,2.291353706449034
