symbol,n_trades,mean_bp,ci_lower_bp,ci_upper_bp,ci_lower_pos
ADAUSDT,23,-301.5575328261374,-841.5685490621928,267.20927167481204,False
AVAXUSDT,31,-286.5181417684273,-598.3971213418155,45.700574582477515,False
BCHUSDT,19,-177.8403982475379,-431.3319141631852,99.69209357023166,False
BNBUSDT,25,-170.57920545310662,-404.87041825696696,76.24815671933331,False
DOGEUSDT,30,75.95109604585052,-251.3188932193732,486.6439809955581,False
ETHUSDT,23,134.3851945138542,-252.14639809164885,543.6062104111513,False
FILUSDT,19,-498.73067926890303,-980.2417857463329,-116.5862033761073,False
LINKUSDT,19,-395.1384771743887,-730.2563280798386,-17.900374787213934,False
LTCUSDT,11,-368.41534256747786,-758.0309253619008,63.20096949150244,False
NEARUSDT,13,-784.5705823959752,-1038.8137477051255,-495.5354370071017,False
SOLUSDT,24,6.612510099757822,-407.80910454419103,392.0033893631337,False
WIFUSDT,25,-624.8898546618059,-1067.8819060856224,-175.73034311920932,False
XRPUSDT,27,296.43320491751444,-130.92817504427754,751.753877743754,False
