token,ticker,ticker_perp,unlock_date,unlock_ts_utc,unlock_pct_supply,unlock_amount_token,unlock_amount_usd_est,allocation_category,cliff_or_linear,source_url_1,source_url_2,cross_validated,notes
Fusionist,ACE,ACEUSDT,2024-01-18,2024-01-18T00:00:00+00:00,1.2987,1909089.0,,Incentive Pool,linear,https://cryptorank.io/price/fusionist/vesting,https://tokenomist.ai/fusionist,False,partial_coverage_single_allocation
Manta Network,MANTA,MANTAUSDT,2024-01-18,2024-01-18T00:00:00+00:00,5.0,49999924.0,,Ecosystem / Community,cliff,https://cryptorank.io/price/manta-network/vesting,https://tokenomist.ai/manta-network,False,tge
Ondo Finance,ONDO,ONDOUSDT,2024-01-18,2024-01-18T00:00:00+00:00,12.504,1250608690.8,,Ecosystem Growth,cliff,https://cryptorank.io/price/ondo-finance/vesting,https://tokenomist.ai/ondo-finance,False,tge
Immutable,IMX,IMXUSDT,2024-01-26,2024-01-26T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Dymension,DYM,DYMUSDT,2024-02-06,2024-02-06T00:00:00+00:00,6.6,66000000.0,,Ecosystem & R&D,cliff,https://cryptorank.io/price/dymension/vesting,https://tokenomist.ai/dymension,False,tge
Pixels,PIXEL,PIXELUSDT,2024-02-19,2024-02-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,cliff,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,tge
Immutable,IMX,IMXUSDT,2024-02-23,2024-02-23T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2024-02-29,2024-02-29T00:00:00+00:00,0.8004,8004000.0,,Team & Advisors,cliff,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,tge
Arbitrum,ARB,ARBUSDT,2024-03-16,2024-03-16T00:00:00+00:00,6.735,673500000.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-03-19,2024-03-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-03-22,2024-03-22T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Ethena,ENA,ENAUSDT,2024-04-02,2024-04-02T00:00:00+00:00,7.5,1125000000.0,,Ecosystem Incentives,cliff,https://cryptorank.io/price/ethena/vesting,https://tokenomist.ai/ethena,False,tge
Wormhole,W,WUSDT,2024-04-03,2024-04-03T00:00:00+00:00,5.0003,500030000.0,,Ecosystem & Incubation,cliff,https://cryptorank.io/price/wormhole/vesting,https://tokenomist.ai/wormhole,False,tge
Optimism,OP,OPUSDT,2024-04-10,2024-04-10T00:00:00+00:00,0.6984,29996051.6,,Retroactive Public Goods Funding,unknown,https://cryptorank.io/price/optimism/vesting,https://tokenomist.ai/optimism,False,partial_coverage_single_allocation
